# Generated by tools/starfield/build.py; do not edit by hand.
# Display-only data (CONVENTIONS 13.6). Provenance: docs/THIRD_PARTY.md,
# section "Star field and constellations".
# IAU constellation boundaries (Delporte 1930), mean equator and equinox of
# B1875.0: abbr|part|corners as RA seconds of time,Dec arcminutes.
# Every edge is an arc of an hour circle or of a parallel; the last corner
# joins the first. Octans' three plotting points at the south pole (added
# by the digital transcription, not boundary corners) are removed.
Sco||57300,-480 58560,-480 58560,-1095 58950,-1095 58950,-1155 58560,-1155 58560,-1475 60300,-1475 60300,-1800 63360,-1800 64200,-1800 64200,-2220 64200,-2730 59115,-2730 59115,-2520 57600,-2520 57600,-1770 56400,-1770 56400,-1200 57300,-1200
Scl||82800,-1530 85800,-1530 6000,-1530 6000,-2400 84000,-2400 84000,-2220 82800,-2220
Sct||65700,-960 67920,-960 67920,-722 67920,-240 66900,-240 65700,-240
Ser|1|54300,0 54300,480 54300,1560 54660,1560 57720,1560 57720,1320 57300,1320 57300,960 57900,960 57900,240 58560,240 58560,0 58560,-195 57300,-195 54300,-195
Ser|2|65700,0 65700,180 66330,180 66330,270 65700,270 65700,375 67184,375 67920,375 67920,120 66900,120 66900,0 66900,-240 65700,-240 65700,-960 63360,-960 61800,-960 61800,-600 63300,-600 63300,-700 63600,-700 63600,-600 64680,-600 64680,-240 64200,-240 64200,0
Sex||34500,0 34500,420 38700,420 38700,0 38700,-360 38700,-660 34500,-660
Tau||11820,-105 11820,0 11820,595 11820,1140 12120,1140 12120,1840 16200,1840 16200,1800 17100,1800 17100,1710 21180,1710 21180,1680 21180,1370 20520,1370 20520,1080 20760,1080 20760,750 20160,750 20160,930 19200,930 19200,960 17880,960 17880,930 16620,930 16620,0 12900,0 12900,-105
Tel||73200,-3420 73200,-2730 69000,-2730 64800,-2730 64800,-3420
Tri||6000,1500 6000,1680 5070,1680 5070,1980 5070,2100 7200,2100 7200,2205 9060,2205 9240,2205 9240,2040 9780,2040 9780,1840 8700,1840 8700,1635 6900,1635 6900,1500
TrA||53100,-4200 53100,-4050 53700,-4050 53700,-3815 54600,-3815 54600,-3660 55200,-3660 55200,-3600 59115,-3600 59115,-3660 59700,-3660 59700,-3815 60300,-3815 60300,-3900 60600,-3900 60600,-4050 61200,-4050 61200,-4200
Tuc||84000,-4500 0,-4500 2700,-4500 2700,-4560 4800,-4560 4800,-3510 84000,-3510 84000,-3420 79200,-3420 79200,-4050 84000,-4050
UMa||34500,2520 33000,2520 33000,2820 30300,2820 30300,3600 28680,3600 28680,4410 33000,4410 40800,4410 40800,3990 43200,3990 43200,3840 48600,3840 48600,3780 51900,3780 51900,3330 50520,3330 50520,2910 48600,2910 48600,3180 43500,3180 43500,2700 43200,2700 43200,2040 43200,1740 42720,1740 39600,1740 39600,2040 38820,2040 38820,2400 36600,2400 36600,2520
UMi||46800,4620 46800,4200 50400,4200 50400,3960 56400,3960 56400,4200 59520,4200 59520,4500 63000,4500 63000,4800 64800,4800 64800,5160 75600,5160 75600,5170 82800,5170 82800,5280 28800,5280 28800,5190 52200,5190 52200,4800 48900,4800 48900,4620
Vel||39600,-3390 39600,-2385 33720,-2385 33720,-2205 30120,-2205 30120,-2580 28800,-2580 28800,-3045 29400,-3045 29400,-3180 30420,-3180 30420,-3270 31800,-3270 31800,-3390
Vir||41460,0 41460,660 42720,660 42720,840 46200,840 46200,900 48600,900 48600,480 54300,480 54300,0 52800,0 52800,-480 51300,-480 51300,-1320 46200,-1320 46200,-660 42600,-660 42600,-360 41460,-360
Vol||23700,-3840 23700,-4200 23700,-4500 27600,-4500 32520,-4500 32520,-3840 24600,-3840
Vul||67920,1265 67920,1530 69330,1530 69330,1650 70800,1650 70800,1740 75300,1740 75300,1680 77100,1680 77100,1410 76500,1410 76500,1170 75780,1170 74040,1170 74040,1230 72900,1230 72900,1275 71400,1275 71400,1150 69300,1150 69300,1265
